year,prisonerstotal,Offensestotal,railwayexpendUSDmill,publicworkreal2000usdmill,centrgovdebtreal2000usdmill,healthexpendreal2000usdmill,centrgovexpendreal2000usdmill,inmigration,emigration,netmigration,mariagerate1000,marriagestotal,M1mill,M2mill,M3mill,importconvUSDmill,importconvUSDothermill,importUSDmill,importUSDreal2000mill,goldonzas,goldkg,wooltonnes,woolusdmill,importUSDreal2000mill,gcftotalmill,GNPnominal,NominalGDPUSDmill,GDPreal2000usd,GDPreal2000usdcapita,StudentPrimary,StudentSecondary,StudentTertiary,studentTOTAL
1840,,,,,,,,2333,,,,,,,,,,,,,,,,,,,,,,,,,
1841,,,,,,,,2439,,,,,,,,0.266,,0.1702,,,,,,,,,,,,,,,
1842,,,,,,,,5168,,,,,,,,0.508,,0.3336,,,,,,,,,,,,,,,
1843,,,,,,,,1443,,,,,,,,0.382,,0.3824,,,,,,,,,,,,,,,
1844,,,,,,,,548,,,,,,,,0.224,,0.2232,,,,,,,,,,,,,,,
1845,,,,,,,,324,,,,,,,,0.234,,0.234,,,,,,,,,,,,,,,
1846,,,,,,,,537,,,,,,,,0.312,,0.311,,,,,,,0.00095,,,,,,,,
1847,,,,,,,,887,,,,,,,,0.404,,0.4048,,,,,,,0.044618,,,,,,,,
1848,,,,,,,,2554,,,,,,,,0.468,,0.4676,,,,,,,0.048292,,,,,,,,
1849,,,,,,,,2663,,,,,,,,0.51,,0.5094,,,,,,,0.031066,,,,,,,,
1850,,,,,,,,2452,,,,,,,,0.48,,0.48,,,,,,,0.00738,,,,,,,,
1851,,,,,,,,3762,,,,,,,,0.712,,0.712,,,,,,,0.02412,,,,,,,,
1852,,,,,,,,2532,,,,,,,,0.718,,0.718,,,,,,,0.029092,,,,,,,,
1853,,,,,,,,2768,,1091,,,,,,1.196,1.1956,1.1956,,,,0.4535929094,,,0.07001,,,,,,,,
1854,,,,,,,,4041,,2057,,,,,,1.782,1.7824,1.7824,,,,0.4535929094,,,0.151266,,,,,,,,
1855,,,,,,,,7220,,3937,10.91,406,,,,1.626,1.627,1.627,,,,0.9071858189,,,0.100236,,,,,,,,
1856,,,,,,,,4851,,2525,8.87,404,,,,1.422,1.4218,1.4218,,,,1.360778728,,,0.12021,,,,,,,,
1857,,,,,,,,5927,,3024,9.59,478,,,,1.986,1.986,1.986,87.816448,10437,296,1.360778728,15.7,32.632698,0.195372,,,,,,,,
1858,,,,,25.7,,,7678,,6130,8.98,534,,,,2.282,2.2826,2.2826,97.633019,13534,384,1.814371638,21.7,37.126724,0.22646,,,,,,,,
1859,,,,,31.5,,,10203,,8637,8.42,603,,,,3.102,3.102,3.102,150.371787,7336,208,2.267964547,33,50.511735,0.253032,8.8,,,,,,,
1860,,,,,40.5,,,8935,,6064,8.65,690,,,,3.096,3.0966,3.0966,145.790305,4538,129,3.175150366,41.8,51.694683,0.241828,11.6,346,398,,,,,
1861,,,,,38.1,,,22339,6117,16222,8.86,878,,,,4.988,4.9876,4.9876,211.26204,194031,5501,3.628743275,44.4,113.433263,0.396156,13.2,426,489,3189,,,,
1862,,,,,51,,,34290,13299,20991,8.67,1091,1,,,9.252,9.2522,9.2522,393.172042,410862,11648,4.535929094,57.3,200.406319,0.62388,21.2,566,650,3620,,,,
1863,,,,,49.9,,,45730,10610,35120,9.05,1485,4,,,14.05,14.0494,14.0494,583.761643,628450,17817,5.896707823,69,277.807618,0.952324,24.4,801,920,4237,,,,
1864,,,,,117.1,,,20931,12404,8527,10.9,1878,4,,,14.002,14.0014,14.0014,565.607012,480171,13613,7.71107946,86.5,246.499206,1.45423,29.2,928,1066,4743,,,,
1865,,,,,242.3,,,18916,6607,12309,10.47,1908,5,,,11.19,11.19,11.19,449.263171,574574,16289,8.618265279,91.7,281.281303,0.62405,31.6,1066,1224,5044,,,,
1866,,,,,286,,,14893,7294,7599,10.32,2038,4,,,11.79,11.7898,11.7898,479.224373,735376,20848,10.43263692,110.1,357.371685,0.692216,36.8,1164,1336,5228,,,,
1867,,,,,308.1,,,11126,6267,4859,9.69,2050,4,,,10.69,10.6892,10.6892,427.844332,686905,19474,12.24700855,126.6,358.551577,0.583315,33,1272,1461,5418,,,,
1868,,,,,319.4,,,8723,7863,860,9.35,2085,4,,,9.972,9.9714,9.9714,406.573846,637474,18072,13.15419437,123.7,348.128397,0.508898,37,1251,1437,5186,,,,
1869,,,,,587.4,,,8903,5262,3641,8.32,1931,5,,,9.952,9.9522,9.9522,428.483244,614281,17415,12.70060146,118.1,352.182727,0.344047,33.8,1351,1552,5405,,,,
1870,,,,,669.5,,,9124,5547,3577,7.62,1851,5,,,9.052,9.278,9.278,420.189173,544880,15447,16.78293765,154.3,427.25422,0.370253,32.6,1343,1543,5182,,,,
1871,,,0,24,729.2,,,10083,5297,4786,7.15,1864,6,,,7.75,8.1564,8.1564,350.015284,730029,20696,17.23653056,137.8,453.332531,0.3764,33.6,1367,1570,4972,,,,
1872,,,0,60,792.1,,,10725,5752,4973,6.85,1873,6,,,9.804,10.286,10.286,428.751057,445270,12623,19.0509022,211.6,432.585891,0.5374,41.2,1497,1719,5243,,,,
1873,,,1,98,923,,,13572,4761,8811,7.9,2276,7,,,12.368,12.9294,12.9294,565.972742,505337,14326,19.0509022,236.6,490.094731,0.9162,51,1729,1986,5778,,,,
1874,,,2,134,1114.5,,,43965,5859,38106,8.81,2828,8,,,15.938,16.2436,16.2436,699.353954,376388,10671,21.31886674,244.1,452.068293,1.31552,55.8,1952,2242,5760,,,,
1875,651,,4,207,1545.9,,,31737,6467,25270,8.94,3209,8,,,15.526,16.0584,16.0584,712.47329,355322,10073,24.49401711,301.5,496.651348,1.2699,58,2126,2442,5796,,,,
1876,611,,3,168,1589.2,,389,18414,6459,11955,8.25,3196,8,,,13.598,13.8104,13.8104,627.627699,322016,9129,27.21557457,308.7,510.086116,0.925948,57.4,2250,2585,5814,,,,
1877,655,,2,108,1861.1,,389,12987,6611,6376,7.62,3114,9,18,25,13.094,13.9468,13.9468,629.455318,371685,10537,29.0299462,330.3,556.845995,0.900064,68.4,2420,2779,6120,,,,
1878,596,14157,1,90,2002.5,,374,16263,5761,10502,7.97,3377,10,21,30,16.846,17.5114,17.5114,779.58212,310486,8802,26.76198166,293.2,525.853102,1.320352,71.6,2740,3147,6609,,,,
1879,698,16374,2,135,2461.1,,461,23957,5234,18723,7.48,3352,9,19,28,16.048,16.7492,16.7492,887.534916,287464,8150,28.12276039,331.3,600.585146,1.274608,61.6,2877,3305,6514,87408,1417,240,89065
1880,703,17837,2,148,2753.1,,392,15154,7923,7231,6.71,3352,10,20,30,11.994,12.324,12.324,627.634631,305248,8654,30.39072493,322.8,634.764527,1.257082,63.6,2692,3092,5851,95262,1631,211,97104
1881,641,16635,2,156,2882.2,,409,9688,8072,1616,6.64,3277,11,23,31,14.604,14.914,14.914,762.504666,269561,7642,26.76198166,297.6,602.784633,0.99954,64.2,2927,3362,6169,95584,1819,239,97642
1882,578,18613,1,95,2872.4,,370,10945,7456,3489,7.07,3600,10,25,33,16.688,17.2186,17.2186,860.171161,254204,7207,29.48353911,311.6,638.936333,1.039308,64.8,3012,3460,6158,99205,1899,279,101383
1883,567,18775,1,90,2964.5,,383,19215,9186,10029,6.82,3612,10,23,33,15.548,15.948,15.948,802.825597,248374,7041,30.84431784,303.5,705.971042,1.16282,61.4,2999,3444,5888,105654,2384,361,108399
1884,560,18263,1,146,3227.7,,405,20021,10700,9321,6.87,3800,10,23,35,14.652,15.3278,15.3278,796.099986,229946,6519,36.74102566,339.5,736.485197,1.105844,65,3060,3514,5776,111667,2642,419,114728
1885,531,18955,1,146,3526.3,,449,16199,11695,4504,6.65,3813,10,28,40,14.556,14.9598,14.9598,819.249563,237371,6729,39.46258312,351,738.101152,1.071016,60.4,3284,3772,6091,116557,2659,442,119658
1886,558,18135,1,164,3758,,471,16101,15037,1064,5.99,3488,9,26,40,12.638,13.518,13.518,749.702176,227079,6438,41.27695476,340.9,724.856298,1.156474,60.2,3290,3778,5985,121171,2358,490,124019
